order_id,total_price,unique_pizza_count,total_qty,order_date,unit_price,min_pizza_size,max_pizza_size,unique_category_count,order_details_id,pizza_id,quantity,order_time,pizza_size,pizza_category,pizza_ingredients,pizza_name,Qty,ingredients,full_date,total_sale
1.0,13.25,1.0,1.0,1/1/2015,13.25,M,M,1,1,hawaiian_m,1.0,11:38:36,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,483,"Sliced Ham, Pineapple, Mozzarella Cheese",2015-01-01 11:38:36,13.25
2.0,92.0,5.0,5.0,1/1/2015,18.4,M,L,4,2,classic_dlx_m,1.0,11:57:40,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,1181,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",2015-01-01 11:57:40,460.0
2.0,92.0,5.0,5.0,1/1/2015,18.4,M,L,4,3,five_cheese_l,1.0,11:57:40,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,1409,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",2015-01-01 11:57:40,460.0
2.0,92.0,5.0,5.0,1/1/2015,18.4,M,L,4,4,ital_supr_l,1.0,11:57:40,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,747,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",2015-01-01 11:57:40,460.0
2.0,92.0,5.0,5.0,1/1/2015,18.4,M,L,4,5,mexicana_m,1.0,11:57:40,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,455,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",2015-01-01 11:57:40,460.0
2.0,92.0,5.0,5.0,1/1/2015,18.4,M,L,4,6,thai_ckn_l,1.0,11:57:40,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,1410,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",2015-01-01 11:57:40,460.0
3.0,37.25,2.0,2.0,1/1/2015,18.625,M,L,1,7,ital_supr_m,1.0,12:12:28,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,941,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",2015-01-01 12:12:28,74.5
3.0,37.25,2.0,2.0,1/1/2015,18.625,M,L,1,8,prsc_argla_l,1.0,12:12:28,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,435,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",2015-01-01 12:12:28,74.5
4.0,16.5,1.0,1.0,1/1/2015,16.5,M,M,1,9,ital_supr_m,1.0,12:16:31,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,941,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",2015-01-01 12:16:31,16.5
5.0,16.5,1.0,1.0,1/1/2015,16.5,M,M,1,10,ital_supr_m,1.0,12:21:30,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,941,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",2015-01-01 12:21:30,16.5
